page,title,is_free,url,skills
9,Research Data Management and Sharing,True,https://www.coursera.org/learn/data-management,"Data Sharing,Data Management,File Management,Data Storage,Information Management,Metadata Management,Data Governance,Record Keeping,Data Security,Data Ethics,Information Privacy,Version Control"
11,Data Analytics Engineering: Probability & Techniques,True,https://www.coursera.org/learn/data-analytics-engineering,"Exploratory Data Analysis,Time Series Analysis and Forecasting,Pandas (Python Package),Data Analysis,Data Wrangling,Probability & Statistics,Unsupervised Learning,Text Mining,Data Manipulation,Statistical Analysis,Data Structures,Data Cleansing,Data Visualization Software,Python Programming"
11,Introduction to Medical Software,True,https://www.coursera.org/learn/introduction-to-medical-software,"Clinical Trials,Software Development Life Cycle,Software Quality Assurance,Systems Development,Usability,Software Development,Human Computer Interaction,Verification And Validation,Medical Science and Research,Risk Management,User Interface (UI),Health Care Procedure and Regulation,Software Design,Healthcare Industry Knowledge,Regulatory Compliance,Entrepreneurship,Artificial Intelligence and Machine Learning (AI/ML),Cybersecurity,System Requirements"
14,Business Analytics ,True,https://www.coursera.org/learn/business-analytics-enus-bbva,"Data Storytelling,Data Presentation,Dashboard,Business Analytics,Data Visualization,Data Quality,Business Intelligence,Data Analysis,Analytics,Descriptive Statistics,Data-Driven Decision-Making,Probability & Statistics,Statistical Inference,Big Data,Project Management Life Cycle"
14,ChatGPT & Generative AI for Data Analytics,True,https://www.coursera.org/learn/chatgpt-for-data-analytics,"Generative AI,ChatGPT,Data Analysis Expressions (DAX),Power BI,Deep Learning,Excel Formulas,Google Sheets,Microsoft Excel,Artificial Intelligence,Data Analysis,Python Programming,SQL,Technical Communication,Automation,Debugging"
14,"Algorithms, Part II",True,https://www.coursera.org/learn/algorithms-part2,"Graph Theory,Data Structures,Algorithms,Theoretical Computer Science,Operations Research,Applied Mathematics,Computational Thinking,Computer Programming,Network Routing,Programming Principles,Network Model,Java Programming,Linear Algebra"
15,Introduction to User Experience Design ,True,https://www.coursera.org/learn/user-experience-design,"User Experience Design,Prototyping,User Centered Design,Usability,Requirements Analysis,User Interface (UI),Interaction Design,Usability Testing,User Research"
16,Cryptography I,True,https://www.coursera.org/learn/crypto,"Cryptography,Data Encryption Standard,Encryption,Key Management,Advanced Encryption Standard (AES),Public Key Cryptography Standards (PKCS),Cybersecurity,Authentications,Data Integrity,Mathematical Software,Algorithms"
16,Programming for Data Science,True,https://www.coursera.org/learn/programming-for-data-science,"Jupyter,Programming Principles,Computer Programming,Python Programming,Development Environment,Scripting,Statistical Programming,Data Structures,Data Manipulation,Debugging"
17,Econometrics: Methods and Applications,True,https://www.coursera.org/learn/erasmus-econometrics,"Econometrics,Time Series Analysis and Forecasting,Regression Analysis,Data Analysis,Statistical Analysis,Quantitative Research,Statistical Modeling,Statistics,Forecasting,Probability,Linear Algebra,Peer Review"
17,Learn to Program: The Fundamentals,True,https://www.coursera.org/learn/learn-to-program,"Programming Principles,Debugging,Software Documentation,Python Programming,Computer Programming,Software Design,Program Development,Integrated Development Environments,Data Structures,File Management"
18,Data Science for Professionals,True,https://www.coursera.org/learn/data-science-for-professionals,"Predictive Modeling,Statistical Analysis,Data Manipulation,Data Analysis,Data Science,Pandas (Python Package),Data Visualization Software,Statistics,Data Wrangling,Data Cleansing,Data-Driven Decision-Making,Business Analytics,Exploratory Data Analysis,Machine Learning,Machine Learning Algorithms"
